,sumsquare_error,aic,bic,kl_div,ks_statistic,ks_pvalue
burr,41.845044421578166,-520742.57907017943,-520703.1344427303,0.06601414107432346,0.10524207353047893,0.0
recipinvgauss,53.19728125666488,-222373.11933604014,-222343.53586545328,0.17386947577480247,0.2165908002982589,0.0
mielke,59.15971984731713,-585122.0815287104,-585082.6369012613,0.11306784049608162,0.12891870470208855,0.0
nakagami,59.7301779399692,-658094.7786005677,-658065.1951299809,0.11497711042800339,0.10159663432403399,0.0
truncweibull_min,60.48313439257969,-126100.7814046299,-126051.47562031847,0.16933178964403223,0.08688759180454897,0.0
