tournament,player,team,buzz_position,value,answer,category,question_number,round
2025 ACF Nationals,Liam Starnes,Chicago B,97,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Julian Bushlow,Cornell B,135,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Andrew Wang,Illinois A,95,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Alex Akridge,Indiana,96,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Maude-Sophie Lockman,Ottawa,97,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,June Yin,WUSTL B,97,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Joel Miles,Minnesota,96,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Ryan Rosenberg,NYU,100,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Rasheeq Azad,North Carolina A,100,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Sharath Narayan,Northwestern,100,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Simon Zimmerman,Ohio State,100,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Michał Gerasimiuk,Stanford,97,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Jisoo Yoo,Texas,15,-5,insomnia,Science - Biology,1,1
2025 ACF Nationals,Bryan Ugaz,Arizona State,135,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Derek Chen,Columbia B,95,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Jason Zhang,Toronto C,135,0,insomnia,Science - Biology,1,1
2025 ACF Nationals,Mitch McCullar,Penn State,135,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Kevin Wang,Georgia Tech,96,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Shiva Tegulla,UCF,96,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Richard Niu,Cornell A,121,-5,insomnia,Science - Biology,1,1
2025 ACF Nationals,Alan Wu,Vanderbilt,135,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Caleb Ott,Waterloo B,92,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Henry Bon,Winona State,97,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Conor Thompson,Iowa State,97,10,insomnia,Science - Biology,1,1
2025 ACF Nationals,Ezra Santos,Chicago B,104,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Arjun Kala,Illinois B,104,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Michael Hunding,Illinois A,102,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Biniam Alaro,Florida,111,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Albert Yingzhi Nyang,LSE,102,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Aryan Desarapu,Michigan,124,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Joel Miles,Minnesota,95,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Ryan Rosenberg,NYU,122,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Jonathan Shauf,North Carolina A,102,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Anuttam Ramji,UC Berkeley B,95,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Sinecio Morales,Johns Hopkins,102,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Noah Chin,Virginia Tech,102,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Jisoo Yoo,Texas,107,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Benjamin Chapman,Toronto A,103,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Parth Jagtap,Toronto C,104,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Swapnil Garg,UC Berkeley A,102,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Amogh Kulkarni,Georgia State,103,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Nathan Zhang,Cornell A,103,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Rayton Lin,Waterloo B,108,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Henry Bon,Winona State,85,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Alan Xie,Yale,130,-5,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Conor Thompson,Iowa State,141,10,Robert Nozick,Philosophy,2,1
2025 ACF Nationals,Liam Starnes,Chicago B,152,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Yash Mandavia,Illinois B,140,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Akshar Goyal,Illinois A,109,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Jakob Myers,Indiana,90,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Andy Huff,LSE,56,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,June Yin,WUSTL B,109,-5,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Aryan Desarapu,Michigan,155,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Shardul Rao,Minnesota,83,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Ryan Rosenberg,NYU,125,-5,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Chris Scheri,RIT,140,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Michael Kearney,Harvard,125,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Chris Sims,Northwestern,152,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Simon Zimmerman,Ohio State,109,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Andrew Zeng,Stanford,83,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Skand Parvatikar,Arizona State,140,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Gareth Thorlakson,Toronto A,140,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Teigue Kelly,Penn State,115,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Nathaniel Hull,UC Berkeley A,83,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Amogh Kulkarni,Georgia State,86,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Truman Hill,Vanderbilt,139,-5,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Nathan Zhang,Cornell A,155,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Micah Colman,Waterloo B,125,-5,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Graham Troy,North Carolina B,155,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Claire Jones,Chicago A,152,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Conor Thompson,Iowa State,137,10,k’uhul ajaw,Any History,3,1
2025 ACF Nationals,Joseph Chambers,Virginia,119,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Aum Mundhe,Rutgers,112,-5,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Justin Wytmar,Illinois A,132,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Jakob Myers,Indiana,127,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Colin Veevers,Ottawa,140,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Rachel Fanous,Michigan,112,-5,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,John John Groger,WUSTL B,145,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Shardul Rao,Minnesota,112,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Owen Mimno,NYU,122,-5,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Cade Reinberger,RIT,145,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Joy An,Harvard,133,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Sharath Narayan,Northwestern,120,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,David Bass,Johns Hopkins,56,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Andrew Zeng,Stanford,125,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Karan Gurazada,Texas,126,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Sky Li,Toronto A,103,-5,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Olin Bose,Columbia B,145,0,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Jason Zhang,Toronto C,125,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Jeffrey Xu,Georgia Tech,110,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Amogh Kulkarni,Georgia State,145,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Richard Niu,Cornell A,119,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Crow He,North Carolina B,135,-5,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Caleb Ott,Waterloo B,145,0,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Henry Bon,Winona State,133,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Guy Indorante,Iowa State,112,10,short,Fine Arts - Classical Music,4,1
2025 ACF Nationals,Joseph Chambers,Virginia,135,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Arjun Kala,Illinois B,123,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Michael Hunding,Illinois A,100,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Justin Hawkins,Indiana,107,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Adrian Wong,Ottawa,138,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Todd Maslyk,Michigan,107,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Joel Miles,Minnesota,110,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Ryan Rosenberg,NYU,119,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Benjamin McAvoy-Bickford,North Carolina A,104,-5,bone,Literature - British Literature,5,1
2025 ACF Nationals,Joy An,Harvard,145,0,bone,Literature - British Literature,5,1
2025 ACF Nationals,Sharath Narayan,Northwestern,119,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Sinecio Morales,Johns Hopkins,126,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Andrew Zeng,Stanford,122,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Jisoo Yoo,Texas,124,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Tony Chen,Toronto A,126,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Ben Wismath,Toronto C,100,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Kevin Wang,Georgia Tech,121,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Amogh Kulkarni,Georgia State,102,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Richard Niu,Cornell A,96,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Caleb Ott,Waterloo B,79,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Ned Tagtmeier,Chicago A,123,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,William Orr,Yale,123,10,bone,Literature - British Literature,5,1
2025 ACF Nationals,Liam Starnes,Chicago B,98,10,comparative,Social Science,6,1
2025 ACF Nationals,Julian Bushlow,Cornell B,129,10,comparative,Social Science,6,1
2025 ACF Nationals,Aum Mundhe,Rutgers,120,10,comparative,Social Science,6,1
2025 ACF Nationals,Jakob Myers,Indiana,62,10,comparative,Social Science,6,1
2025 ACF Nationals,Albert Yingzhi Nyang,LSE,103,10,comparative,Social Science,6,1
2025 ACF Nationals,Todd Maslyk,Michigan,103,10,comparative,Social Science,6,1
2025 ACF Nationals,John Chen,British Columbia,66,-5,comparative,Social Science,6,1
2025 ACF Nationals,Joel Miles,Minnesota,135,10,comparative,Social Science,6,1
2025 ACF Nationals,Owen Mimno,NYU,123,10,comparative,Social Science,6,1
2025 ACF Nationals,Michael Kearney,Harvard,97,10,comparative,Social Science,6,1
2025 ACF Nationals,Chris Sims,Northwestern,84,10,comparative,Social Science,6,1
2025 ACF Nationals,Aditya Shivaswamy,Johns Hopkins,97,10,comparative,Social Science,6,1
2025 ACF Nationals,Michał Gerasimiuk,Stanford,77,10,comparative,Social Science,6,1
2025 ACF Nationals,Bryan Ugaz,Arizona State,124,10,comparative,Social Science,6,1
2025 ACF Nationals,Sky Li,Toronto A,84,10,comparative,Social Science,6,1
2025 ACF Nationals,Marcus Forbes-Green,Toronto C,102,10,comparative,Social Science,6,1
2025 ACF Nationals,Eve Fleisig,UC Berkeley A,84,10,comparative,Social Science,6,1
2025 ACF Nationals,Thomas Tibbetts,UCF,107,-5,comparative,Social Science,6,1
2025 ACF Nationals,Amogh Kulkarni,Georgia State,135,10,comparative,Social Science,6,1
2025 ACF Nationals,Jacky Xu,Cornell A,86,10,comparative,Social Science,6,1
2025 ACF Nationals,James Ah Yong,Waterloo B,103,10,comparative,Social Science,6,1
2025 ACF Nationals,Henry Bon,Winona State,52,10,comparative,Social Science,6,1
2025 ACF Nationals,Conor Thompson,Iowa State,42,10,comparative,Social Science,6,1
2025 ACF Nationals,Joseph Chambers,Virginia,130,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Arjun Kala,Illinois B,97,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Andrew Wang,Illinois A,96,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Justin Hawkins,Indiana,125,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Adrian Wong,Ottawa,124,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Yashwanth Bajji,Michigan,127,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Joel Miles,Minnesota,100,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Eshan Pant,NYU,63,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Jim Fan,North Carolina A,126,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Anuttam Ramji,UC Berkeley B,102,-5,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Sharath Narayan,Northwestern,140,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Aditya Shivaswamy,Johns Hopkins,127,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Noah Chin,Virginia Tech,70,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Jaik Havlick,Arizona State,78,-5,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Jisoo Yoo,Texas,142,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Benjamin Chapman,Toronto A,127,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Mitch McCullar,Penn State,47,-5,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Parth Jagtap,Toronto C,142,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Eve Fleisig,UC Berkeley A,101,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Amogh Kulkarni,Georgia State,85,-5,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Richard Niu,Cornell A,97,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Caleb Ott,Waterloo B,127,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Ned Tagtmeier,Chicago A,127,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,William Orr,Yale,74,10,“Nevsky Prospect”,Literature - European Literature,7,1
2025 ACF Nationals,Alvin Guo,Chicago B,112,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Arjun Kala,Illinois B,160,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Andrew Wang,Illinois A,73,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Justin Hawkins,Indiana,113,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Cormac Beirne,LSE,101,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Todd Maslyk,Michigan,158,-5,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,John John Groger,WUSTL B,160,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Joel Miles,Minnesota,142,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Ryan Rosenberg,NYU,40,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Michael Kearney,Harvard,141,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Sharath Narayan,Northwestern,123,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Sinecio Morales,Johns Hopkins,80,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Noah Chin,Virginia Tech,101,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Bryce Cruise,Texas,133,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Sky Li,Toronto A,121,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Teigue Kelly,Penn State,82,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Nathaniel Hull,UC Berkeley A,40,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Amogh Kulkarni,Georgia State,112,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Truman Hill,Vanderbilt,115,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Caleb Ott,Waterloo B,160,0,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Graham Troy,North Carolina B,160,0,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Claire Jones,Chicago A,106,10,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Conor Thompson,Iowa State,160,0,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Jem Burch,Yale,160,0,Charles,Painting &amp; Sculpture,8,1
2025 ACF Nationals,Ezra Santos,Chicago B,96,-5,attenuation,Science - Physics,9,1
2025 ACF Nationals,Joseph Chambers,Virginia,143,0,attenuation,Science - Physics,9,1
2025 ACF Nationals,Yash Mandavia,Illinois B,124,-5,attenuation,Science - Physics,9,1
2025 ACF Nationals,Julian Bushlow,Cornell B,143,0,attenuation,Science - Physics,9,1
2025 ACF Nationals,Andrew Wang,Illinois A,96,-5,attenuation,Science - Physics,9,1
2025 ACF Nationals,Aiden Dartley,Rutgers,143,10,attenuation,Science - Physics,9,1
2025 ACF Nationals,Alex Akridge,Indiana,108,10,attenuation,Science - Physics,9,1
2025 ACF Nationals,Colin Veevers,Ottawa,92,10,attenuation,Science - Physics,9,1
2025 ACF Nationals,Yashwanth Bajji,Michigan,96,-5,attenuation,Science - Physics,9,1
2025 ACF Nationals,June Yin,WUSTL B,143,10,attenuation,Science - Physics,9,1
2025 ACF Nationals,Matthew Wang,British Columbia,96,10,attenuation,Science - Physics,9,1
2025 ACF Nationals,Rasheeq Azad,North Carolina A,112,-5,attenuation,Science - Physics,9,1
2025 ACF Nationals,James McCurley,Harvard,143,0,attenuation,Science - Physics,9,1
2025 ACF Nationals,Vinu Harihar,UC Berkeley B,112,-5,attenuation,Science - Physics,9,1
2025 ACF Nationals,Nikhil Chellam,Northwestern,120,10,attenuation,Science - Physics,9,1
2025 ACF Nationals,David Bass,Johns Hopkins,96,-5,attenuation,Science - Physics,9,1
2025 ACF Nationals,Calvin Bostleman,Ohio State,143,10,attenuation,Science - Physics,9,1
2025 ACF Nationals,Michał Gerasimiuk,Stanford,96,10,attenuation,Science - Physics,9,1
2025 ACF Nationals,Karan Gurazada,Texas,96,-5,attenuation,Science - Physics,9,1
2025 ACF Nationals,Bryan Ugaz,Arizona State,143,10,attenuation,Science - Physics,9,1
2025 ACF Nationals,Benjamin Chapman,Toronto A,80,-5,attenuation,Science - Physics,9,1
2025 ACF Nationals,William Groger,Columbia B,143,0,attenuation,Science - Physics,9,1
2025 ACF Nationals,Ted Gan,Penn State,111,10,attenuation,Science - Physics,9,1
2025 ACF Nationals,Shiva Tegulla,UCF,143,10,attenuation,Science - Physics,9,1
2025 ACF Nationals,Richard Niu,Cornell A,136,-5,attenuation,Science - Physics,9,1
2025 ACF Nationals,James Ah Yong,Waterloo B,118,10,attenuation,Science - Physics,9,1
2025 ACF Nationals,Adam Fine,Chicago A,127,10,attenuation,Science - Physics,9,1
2025 ACF Nationals,Conor Thompson,Iowa State,143,0,attenuation,Science - Physics,9,1
2025 ACF Nationals,William Orr,Yale,143,0,attenuation,Science - Physics,9,1
2025 ACF Nationals,Joseph Chambers,Virginia,96,-5,Long,History - American History,10,1
2025 ACF Nationals,Liam Starnes,Chicago B,136,10,Long,History - American History,10,1
2025 ACF Nationals,Arjun Kala,Illinois B,115,10,Long,History - American History,10,1
2025 ACF Nationals,Akshar Goyal,Illinois A,103,10,Long,History - American History,10,1
2025 ACF Nationals,Biniam Alaro,Florida,66,10,Long,History - American History,10,1
2025 ACF Nationals,Andy Huff,LSE,110,10,Long,History - American History,10,1
2025 ACF Nationals,Todd Maslyk,Michigan,96,-5,Long,History - American History,10,1
2025 ACF Nationals,June Yin,WUSTL B,132,10,Long,History - American History,10,1
2025 ACF Nationals,John Chen,British Columbia,84,10,Long,History - American History,10,1
2025 ACF Nationals,Ryan Rosenberg,NYU,115,10,Long,History - American History,10,1
2025 ACF Nationals,Nitin Rao,Harvard,103,10,Long,History - American History,10,1
2025 ACF Nationals,Vinu Harihar,UC Berkeley B,84,-5,Long,History - American History,10,1
2025 ACF Nationals,Sharath Narayan,Northwestern,133,10,Long,History - American History,10,1
2025 ACF Nationals,Roxanne Tang,Ohio State,96,-5,Long,History - American History,10,1
2025 ACF Nationals,David Bass,Johns Hopkins,136,10,Long,History - American History,10,1
2025 ACF Nationals,Noah Chin,Virginia Tech,110,10,Long,History - American History,10,1
2025 ACF Nationals,Bryce Cruise,Texas,112,10,Long,History - American History,10,1
2025 ACF Nationals,Elijah Scheinson,Columbia B,52,10,Long,History - American History,10,1
2025 ACF Nationals,Parth Jagtap,Toronto C,101,10,Long,History - American History,10,1
2025 ACF Nationals,Nathaniel Hull,UC Berkeley A,95,10,Long,History - American History,10,1
2025 ACF Nationals,Alexander Nichols,UCF,46,-5,Long,History - American History,10,1
2025 ACF Nationals,Amogh Kulkarni,Georgia State,136,10,Long,History - American History,10,1
2025 ACF Nationals,Truman Hill,Vanderbilt,47,-5,Long,History - American History,10,1
2025 ACF Nationals,Nathan Zhang,Cornell A,136,10,Long,History - American History,10,1
2025 ACF Nationals,Rayton Lin,Waterloo B,98,10,Long,History - American History,10,1
2025 ACF Nationals,Henry Bon,Winona State,46,10,Long,History - American History,10,1
2025 ACF Nationals,William Orr,Yale,110,10,Long,History - American History,10,1
2025 ACF Nationals,Brian Lai,Virginia,100,-5,Húběi province,Geography,11,1
2025 ACF Nationals,Liam Starnes,Chicago B,145,10,Húběi province,Geography,11,1
2025 ACF Nationals,Julian Bushlow,Cornell B,143,-5,Húběi province,Geography,11,1
2025 ACF Nationals,Arjun Kala,Illinois B,145,0,Húběi province,Geography,11,1
2025 ACF Nationals,Andrew Wang,Illinois A,67,-5,Húběi province,Geography,11,1
2025 ACF Nationals,Aum Mundhe,Rutgers,145,10,Húběi province,Geography,11,1
2025 ACF Nationals,Jakob Myers,Indiana,95,-5,Húběi province,Geography,11,1
2025 ACF Nationals,Qingyu Zhang,Florida,145,10,Húběi province,Geography,11,1
2025 ACF Nationals,Adrian Wong,Ottawa,98,10,Húběi province,Geography,11,1
2025 ACF Nationals,John John Groger,WUSTL B,98,10,Húběi province,Geography,11,1
2025 ACF Nationals,John Chen,British Columbia,81,10,Húběi province,Geography,11,1
2025 ACF Nationals,Owen Mimno,NYU,139,10,Húběi province,Geography,11,1
2025 ACF Nationals,Benjamin McAvoy-Bickford,North Carolina A,138,-5,Húběi province,Geography,11,1
2025 ACF Nationals,Michael Kearney,Harvard,145,0,Húběi province,Geography,11,1
2025 ACF Nationals,Chris Sims,Northwestern,95,10,Húběi province,Geography,11,1
2025 ACF Nationals,Roxanne Tang,Ohio State,111,-5,Húběi province,Geography,11,1
2025 ACF Nationals,David Bass,Johns Hopkins,145,10,Húběi province,Geography,11,1
2025 ACF Nationals,Noah Chin,Virginia Tech,100,10,Húběi province,Geography,11,1
2025 ACF Nationals,Jaik Havlick,Arizona State,83,-5,Húběi province,Geography,11,1
2025 ACF Nationals,Bryce Cruise,Texas,145,10,Húběi province,Geography,11,1
2025 ACF Nationals,Sky Li,Toronto A,113,10,Húběi province,Geography,11,1
2025 ACF Nationals,Ted Gan,Penn State,115,10,Húběi province,Geography,11,1
2025 ACF Nationals,Ian Lu,Georgia Tech,113,10,Húběi province,Geography,11,1
2025 ACF Nationals,Amogh Kulkarni,Georgia State,140,-5,Húběi province,Geography,11,1
2025 ACF Nationals,Jacky Xu,Cornell A,39,10,Húběi province,Geography,11,1
2025 ACF Nationals,Micah Colman,Waterloo B,111,-5,Húběi province,Geography,11,1
2025 ACF Nationals,Crow He,North Carolina B,145,10,Húběi province,Geography,11,1
2025 ACF Nationals,John Marvin,Chicago A,134,-5,Húběi province,Geography,11,1
2025 ACF Nationals,Henry Bon,Winona State,145,0,Húběi province,Geography,11,1
2025 ACF Nationals,Conor Thompson,Iowa State,124,10,Húběi province,Geography,11,1
2025 ACF Nationals,Joseph Chambers,Virginia,94,10,being Jewish,Religion,12,1
2025 ACF Nationals,Kevin Peng,Cornell B,113,10,being Jewish,Religion,12,1
2025 ACF Nationals,Vikshar Athreya,Rutgers,77,-5,being Jewish,Religion,12,1
2025 ACF Nationals,Justin Wytmar,Illinois A,127,10,being Jewish,Religion,12,1
2025 ACF Nationals,Qingyu Zhang,Florida,54,10,being Jewish,Religion,12,1
2025 ACF Nationals,Cormac Beirne,LSE,97,10,being Jewish,Religion,12,1
2025 ACF Nationals,June Yin,WUSTL B,98,10,being Jewish,Religion,12,1
2025 ACF Nationals,Joel Miles,Minnesota,55,10,being Jewish,Religion,12,1
2025 ACF Nationals,Jacob Hardin-Bernhardt,NYU,50,10,being Jewish,Religion,12,1
2025 ACF Nationals,Benjamin McAvoy-Bickford,North Carolina A,85,10,being Jewish,Religion,12,1
2025 ACF Nationals,Vinu Harihar,UC Berkeley B,50,10,being Jewish,Religion,12,1
2025 ACF Nationals,Simon Zimmerman,Ohio State,85,10,being Jewish,Religion,12,1
2025 ACF Nationals,Michał Gerasimiuk,Stanford,55,10,being Jewish,Religion,12,1
2025 ACF Nationals,Karan Gurazada,Texas,100,10,being Jewish,Religion,12,1
2025 ACF Nationals,Benjamin Chapman,Toronto A,62,10,being Jewish,Religion,12,1
2025 ACF Nationals,Ben Wismath,Toronto C,86,10,being Jewish,Religion,12,1
2025 ACF Nationals,Ian Lu,Georgia Tech,49,10,being Jewish,Religion,12,1
2025 ACF Nationals,Alexander Nichols,UCF,128,10,being Jewish,Religion,12,1
2025 ACF Nationals,Jacky Xu,Cornell A,57,10,being Jewish,Religion,12,1
2025 ACF Nationals,James Ah Yong,Waterloo B,100,10,being Jewish,Religion,12,1
2025 ACF Nationals,Henry Bon,Winona State,58,10,being Jewish,Religion,12,1
2025 ACF Nationals,Conor Thompson,Iowa State,50,10,being Jewish,Religion,12,1
2025 ACF Nationals,Ezra Santos,Chicago B,75,-5,fixed points,Science - Other Science,13,1
2025 ACF Nationals,Brian Lai,Virginia,142,0,fixed points,Science - Other Science,13,1
2025 ACF Nationals,Brian Hoff,Cornell B,97,10,fixed points,Science - Other Science,13,1
2025 ACF Nationals,Michael Hunding,Illinois A,58,10,fixed points,Science - Other Science,13,1
